A1B2,A1B4,P1S,P1VP2,P1VP4,P2E,P4E,Temps
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000001)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000002)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000003)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000004)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000005)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000006)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000007)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000008)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000009)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000010)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000011)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000012)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000013)]
0,0,1,0,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000014)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000015)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000016)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000017)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000018)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000019)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000020)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000021)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000022)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000023)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000024)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000025)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000026)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000027)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000028)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000029)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000030)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000031)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000032)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000033)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000034)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000035)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000036)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000037)]
0,0,1,0,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000038)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000039)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000040)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000041)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000042)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000043)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000044)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000045)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000046)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000047)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000048)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000049)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000050)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000051)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000052)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000053)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000054)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000055)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000056)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000057)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000058)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000059)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000060)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000061)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000062)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000063)]
0,0,1,0,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000064)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000065)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000066)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000067)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000068)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000069)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000070)]
0,0,1,1,1,0,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000071)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000072)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000073)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000074)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000075)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000076)]
0,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000077)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000078)]
1,0,0,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000079)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000080)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000081)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000082)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000083)]
0,0,1,1,1,1,1,[datetime.datetime(2021; 4; 28; 12; 45; 30; 000084)]
