Variable	Commentaire	Date de départ	Heure de départ	Valeur
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:2	Pince en position convoyeur d'approvisionnement sur l'axe X.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:3	Pince en position glissière externe sur l'axe X.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:4	Pince en position glissière intermédiaire sur l'axe X.	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:5	Glissière intermédiaire pleine	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:6	Glissière externe pleine	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:7	butée de la glissière intermédiaire sortie	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:0	butée de la glisssière externe sortie	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:1	Stoppeur intermédiaire sortie	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:2	Stoppeur intermédiaire rentrée	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:4	Arret d'urgence	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:6	Présence d'un 6packs sur la butée de la glissière intermédiaire	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:7	Présence d'un 6packs sur la butée de la glissière externe.	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:11:48,463	FAUX
