Variable	Commentaire	Date de départ	Heure de départ	Valeur
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	25/05/2021	11:10:28,470	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:2	Pince en position convoyeur d'approvisionnement sur l'axe X.	25/05/2021	11:10:28,470	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:3	Pince en position glissière externe sur l'axe X.	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:4	Pince en position glissière intermédiaire sur l'axe X.	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	25/05/2021	11:10:28,470	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	25/05/2021	11:10:28,470	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:5	Glissière intermédiaire pleine	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:6	Glissière externe pleine	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:7	butée de la glissière intermédiaire sortie	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:0	butée de la glisssière externe sortie	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:1	Stoppeur intermédiaire sortie	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:2	Stoppeur intermédiaire rentrée	25/05/2021	11:10:28,470	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:4	Arret d'urgence	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:6	Présence d'un 6packs sur la butée de la glissière intermédiaire	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:7	Présence d'un 6packs sur la butée de la glissière externe.	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:3	Mvt vers les glissières  (axe X)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:2	Sortir la butée de la glissière intermédiaire	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:3	Sortir la butée de la glissière externe	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:4	Sortir le stoppeur intermédiaire (axe X )	25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:6		25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:7		25/05/2021	11:10:28,470	VRAI
FERMER_fermée		25/05/2021	11:10:28,470	FAUX
OUVRIR_ouvert		25/05/2021	11:10:28,470	FAUX
YCONV_y_conv		25/05/2021	11:10:28,470	FAUX
YSTA_y_sta		25/05/2021	11:10:28,470	FAUX
z_haut_z_bas		25/05/2021	11:10:28,470	FAUX
z_bas_z_haut		25/05/2021	11:10:28,470	FAUX
CONVIE_conv_fin		25/05/2021	11:10:28,470	FAUX
S_FERMER_fermée		25/05/2021	11:10:28,470	FAUX
S_OUVRIR_ouvert		25/05/2021	11:10:28,470	FAUX
S_YCONV_y_conv		25/05/2021	11:10:28,470	FAUX
S_YSTA_y_sta		25/05/2021	11:10:28,470	FAUX
S_z_haut_z_bas		25/05/2021	11:10:28,470	FAUX
S_z_bas_z_haut		25/05/2021	11:10:28,470	FAUX
S_CONVIE_conv_fin		25/05/2021	11:10:28,470	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	25/05/2021	11:10:34,729	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	25/05/2021	11:10:34,729	VRAI
CONVIE_conv_fin		25/05/2021	11:10:34,729	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	25/05/2021	11:10:35,316	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	25/05/2021	11:10:37,542	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:37,542	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	25/05/2021	11:10:37,542	FAUX
CONVIE_conv_fin		25/05/2021	11:10:37,542	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:37,665	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	25/05/2021	11:10:37,787	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:37,911	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	25/05/2021	11:10:38,004	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	25/05/2021	11:10:38,127	FAUX
z_haut_z_bas		25/05/2021	11:10:38,127	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	25/05/2021	11:10:39,424	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	25/05/2021	11:10:39,424	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:39,424	FAUX
z_haut_z_bas		25/05/2021	11:10:39,424	FAUX
FERMER_fermée		25/05/2021	11:10:39,424	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	25/05/2021	11:10:39,546	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	25/05/2021	11:10:39,669	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	25/05/2021	11:10:39,669	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:39,669	VRAI
FERMER_fermée		25/05/2021	11:10:39,669	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:39,790	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	25/05/2021	11:10:39,918	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:40,041	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	25/05/2021	11:10:40,165	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	25/05/2021	11:10:40,165	FAUX
z_bas_z_haut		25/05/2021	11:10:40,165	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	25/05/2021	11:10:40,411	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	25/05/2021	11:10:41,519	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	25/05/2021	11:10:41,519	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:41,519	FAUX
z_bas_z_haut		25/05/2021	11:10:41,519	FAUX
YCONV_y_conv		25/05/2021	11:10:41,519	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	25/05/2021	11:10:41,641	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	25/05/2021	11:10:42,826	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	25/05/2021	11:10:42,826	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	25/05/2021	11:10:42,826	VRAI
YCONV_y_conv		25/05/2021	11:10:42,826	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	25/05/2021	11:10:42,950	VRAI
