Variable	Commentaire	Date de départ	Heure de départ	Valeur
fermee	Pince fermée.	04/06/2021	17:04:32,491	FAUX
ouvert	Pince ouverte.	04/06/2021	17:04:32,491	FAUX
gliss_ext	Glissière externe pleine	04/06/2021	17:04:32,491	FAUX
but_ext	butée de la glisssière externe sortie	04/06/2021	17:04:32,491	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:04:32,491	FAUX
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:04:32,491	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:04:32,491	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:04:32,491	FAUX
AU	Arret d'urgence	04/06/2021	17:04:32,491	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:04:32,491	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:04:32,491	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:04:32,491	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:04:32,491	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:32,491	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:04:32,491	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:04:32,491	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:04:32,491	FAUX
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:04:32,491	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:04:32,491	FAUX
gliss2	Présence d’un 6packs sur la butée de la glissière externe.	04/06/2021	17:04:32,491	FAUX
OUVRIR	Ouvrir la pince	04/06/2021	17:04:32,491	FAUX
FERMER	Fermer la pince	04/06/2021	17:04:32,491	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:04:32,491	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:04:32,491	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:04:32,491	FAUX
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:04:32,491	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:04:32,491	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:04:32,491	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:04:32,491	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:04:32,491	FAUX
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:04:32,491	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:04:32,491	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:04:32,491	FAUX
ouvert	Pince ouverte.	04/06/2021	17:04:32,595	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:04:32,595	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:04:32,595	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:04:32,595	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:04:32,595	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:04:32,595	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:32,687	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:35,387	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:35,601	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:36,188	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:04:37,690	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:04:38,181	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:04:38,181	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:04:38,181	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:04:38,181	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:04:38,302	FAUX
