Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 42; 06; 000001)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 000002)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 000003)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 000004)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000005)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000006)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000007)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000008)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000009)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000010)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000011)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000012)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 000013)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000014)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000015)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000016)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000017)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000018)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000019)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000020)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000021)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,000,35945,000,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 000022)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,10000000,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000023)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,10000000,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000024)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,10000000,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000025)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1000010000000,2153,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000026)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1000010000000,2153,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000027)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1000010000000,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000028)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1000010000000,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000029)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1000010000000,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000030)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100110001101001,1001010000000,19561,4736,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000031)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100010001101001,1001010000000,17513,4736,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 000032)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1001000000000,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000033)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1001000000000,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000034)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1001000000000,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000035)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1001000000000,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000036)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1001000000000,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000037)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,111010001101001,100100000000,29801,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000038)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11010001101001,100100000000,13417,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000039)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,100100000000,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000040)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,100100000000,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 000041)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,100100000000,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000042)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,100100000000,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000043)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,100110000000,42089,2432,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000044)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,100110000000,42089,2432,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000045)],1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1010100000101001,1001010010000,43049,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000046)],0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100000101001,1001010010000,2089,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000047)],0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,101001,1001010010000,41,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 000048)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
