Date,Time,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
16/04/2021,10:44:01,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1000000001100001,0001000010000,32865,528
16/04/2021,10:44:01,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1000000001100001,0001000010000,32865,528
16/04/2021,10:44:01,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1000000001100001,0001000010000,32865,528
16/04/2021,10:44:02,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001000001100001,0000100010000,36961,272
16/04/2021,10:44:02,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001000001100001,0000100010000,36961,272
16/04/2021,10:44:02,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001000001100001,0000100010000,36961,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:02,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:03,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001100001,0000100010000,32865,272
16/04/2021,10:44:03,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000100001100001,1000000010000,34913,4112
16/04/2021,10:44:03,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0000100001100001,1000000010000,2145,4112
16/04/2021,10:44:03,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0000100001100001,1000000010000,2145,4112
16/04/2021,10:44:03,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0000101001100001,1000010010000,2657,4240
16/04/2021,10:44:03,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0000101001100001,1000010010000,2657,4240
16/04/2021,10:44:03,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100101001100001,1001010010000,19041,4752
16/04/2021,10:44:03,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100101001000001,1001010010000,19009,4752
16/04/2021,10:44:03,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100101001000001,1001010010000,19009,4752
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100001001000001,1001010010000,16961,4752
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100001001100001,1001010010000,16993,4752
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100001001110001,1001010000000,17009,4736
16/04/2021,10:44:04,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0101001001110001,1100010000000,21105,6272
16/04/2021,10:44:05,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0111001001110001,0100110000000,29297,2432
16/04/2021,10:44:05,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0011001001110001,0100110000000,12913,2432
16/04/2021,10:44:05,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0011001001110001,0100110000000,12913,2432
16/04/2021,10:44:05,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0011011001110001,0100110000000,13937,2432
16/04/2021,10:44:05,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010011001110001,0100110000000,42609,2432
16/04/2021,10:44:05,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010010001110001,0100100000000,42097,2304
16/04/2021,10:44:05,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010010001110001,0100100000000,42097,2304
16/04/2021,10:44:05,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010010001110001,0100100000000,42097,2304
16/04/2021,10:44:05,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010010001110001,0100100000000,42097,2304
16/04/2021,10:44:06,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010000001110001,0100100000000,41073,2304
16/04/2021,10:44:06,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010000001110001,0100100000000,41073,2304
16/04/2021,10:44:06,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1010000001110001,0100100000000,41073,2304
16/04/2021,10:44:06,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000100000110001,1010000000000,34865,5120
16/04/2021,10:44:06,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0000100000110001,1010000000000,2097,5120
16/04/2021,10:44:06,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0000100000110001,1010000000000,2097,5120
16/04/2021,10:44:06,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0000100000110001,1010000000000,2097,5120
16/04/2021,10:44:06,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0000100000110001,1010000000000,2097,5120
16/04/2021,10:44:06,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1010000000000,18481,5120
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1010000000000,18481,5120
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1010000000000,18481,5120
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1010000000000,18481,5120
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1001000000000,18481,4608
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1001000000000,18481,4608
16/04/2021,10:44:07,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100100000110001,1001000000000,18481,4608
16/04/2021,10:44:07,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100000000110001,1001000000000,16433,4608
