Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 12; 04; 22; 000001)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 22; 000002)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000003)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000004)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000005)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000006)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000007)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000008)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000009)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000010)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 23; 000011)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000012)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000013)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000014)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000015)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000016)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000017)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000018)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000019)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 24; 000020)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000021)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000022)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000023)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000024)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000025)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000026)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000027)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000028)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000029)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
