Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 42; 06; 010000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0.0.0.0,35945,0.0,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 020000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 030000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 06; 040000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 010000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 020000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 030000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 040000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 050000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 060000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 070000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 080000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 07; 090000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 010000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 020000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 030000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 040000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 050000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 060000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 070000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 080000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000110001101001,0,35945,0,
[datetime.datetime(2021; 04; 16; 13; 42; 08; 090000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,1e+07,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 010000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,1e+07,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 020000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000110001101001,1e+07,35945,128,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 030000)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1.00001e+12,2153,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 040000)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1.00001e+12,2153,4224,
