Temps,A1B2,A1B4,P1S,P1VP2,P1VP4,P2E,P4E,label
0,0,0,0,1,1,1,1,000001
10,1,0,0,1,1,1,1,000001
10,1,0,1,1,1,1,1,000001
10,0,0,1,1,1,1,1,000001
12,0,0,1,0,1,1,1,000001
8,0,0,1,1,1,1,1,000001
12,0,0,1,1,1,0,1,000001
10,0,0,1,1,1,1,1,000001
12,0,0,0,1,1,1,1,000001
10,1,0,0,1,1,1,1,000001
8,1,0,1,1,1,1,1,000001
12,0,0,1,1,1,1,1,000001
10,0,0,1,0,1,1,1,000001
12,0,0,1,1,1,1,1,000001
8,0,0,1,1,1,0,1,000001
10,0,0,1,1,1,1,1,000001
8,0,0,0,1,1,1,1,000001
10,1,0,0,1,1,1,1,000001
10,1,0,1,1,1,1,1,000001
10,0,0,1,1,1,1,1,000001
8,0,0,1,0,1,1,1,000001
12,0,0,1,1,1,1,1,000001
10,0,0,1,1,1,0,1,000001
10,0,0,1,1,1,1,1,000001
12,0,0,0,1,1,1,1,000001
10,1,0,0,1,1,1,1,000001
12,1,0,1,1,1,1,1,000001
8,0,0,1,1,1,1,1,000001
8,0,0,1,0,1,1,1,000001
12,0,0,1,1,1,1,1,000001
12,0,0,1,1,1,0,1,000001
8830,0,0,1,1,1,1,1,000001
100,0,0,0,1,1,1,1,000001
100,0,1,0,1,1,1,1,000001
100,0,1,1,1,1,1,1,000001
100,0,0,1,1,1,1,1,000001
100,0,0,1,1,0,1,1,000001
100,0,0,1,1,1,1,1,000001
100,0,0,1,1,1,1,0,000001
100,0,0,1,1,1,1,1,000001
100,0,0,0,1,1,1,1,000001
100,0,1,0,1,1,1,1,000001
100,0,1,1,1,1,1,1,000001
100,0,0,1,1,1,1,1,000001
100,0,0,1,1,0,1,1,000001
100,0,0,1,1,1,1,1,000001
100,0,0,1,1,1,1,0,000001
102,0,0,1,1,1,1,1,000001
100,0,0,0,1,1,1,1,000001
100,0,1,0,1,1,1,1,000001
100,0,1,1,1,1,1,1,000001
100,0,0,1,1,1,1,1,000001
96,0,0,1,1,0,1,1,000001
100,0,0,1,1,1,1,1,000001
100,0,0,1,1,1,1,0,000001
100,0,0,1,1,1,1,1,000001
100,0,0,0,1,1,1,1,000001
100,0,1,0,1,1,1,1,000001
