Temps,A1B2,A1B4,P1S,P1VP2,P1VP4,P2E,P4E,S1_P1S,S1_P1VP2,S1_P1VP4,S1_P2E,S1_P4E,1,2,3,4,5,6
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000001)],0,0,0,1,1,1,1,0,0,0,0,0,0.0,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000002)],0,0,0,1,1,1,1,0,0,0,0,0,1,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000003)],1,0,0,1,1,1,1,0,0,0,0,0,2,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000004)],1,0,0,1,1,1,1,0,0,0,0,0,3,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000005)],1,0,1,1,1,1,1,0,0,0,0,0,4,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000006)],0,0,1,1,1,1,1,0,0,0,0,0,5,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000007)],0,0,1,1,1,1,1,0,0,0,0,0,6,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000008)],0,0,1,1,1,1,1,0,0,0,0,0,7,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000009)],0,0,1,1,1,1,1,0,0,0,0,0,8,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000010)],0,0,1,1,1,1,1,0,0,0,0,0,9,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000011)],0,0,1,1,1,1,1,0,0,0,0,0,10,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000012)],0,0,1,1,1,1,1,0,0,0,0,0,11,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000013)],0,0,1,0,1,1,1,0,0,0,0,0,12,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000014)],0,0,1,1,1,1,1,0,0,0,0,0,13,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000015)],0,0,1,1,1,1,1,0,0,0,0,0,14,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000016)],0,0,1,1,1,1,1,0,0,0,0,0,15,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000017)],0,0,1,1,1,1,1,0,0,0,0,0,16,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000018)],0,0,1,1,1,1,1,0,0,0,0,0,17,,,,,
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000019)],0,0,1,1,1,0,1,0,0,0,0,0,18,,,,,
